TAIL NO,IN DATE,OUT DATE,DESCRIPTION
254SE,2018-07-28,2018-07-31,100 hour inspection
548QR,2018-07-29,2018-08-01,100 hour inspection
426JQ,2018-07-30,2018-08-01,100 hour inspection
426JQ,2018-07-31,2018-08-03,annual inspection
548QR,2018-08-01,2018-08-08,medium repair
133CZ,2018-08-02,2018-08-05,100 hour inspection
684TM,2018-08-05,2018-08-08,100 hour inspection
811AX,2018-08-06,2018-08-09,100 hour inspection
738GG,2018-08-07,2018-08-10,100 hour inspection
157ZA,2018-08-08,2018-08-10,100 hour inspection
254SE,2018-08-15,2018-08-18,100 hour inspection
426JQ,2018-08-16,2018-08-18,100 hour inspection
217PQ,2018-08-17,2018-08-19,100 hour inspection
133CZ,2018-08-19,2018-08-21,100 hour inspection
811AX,2018-08-24,2018-08-27,100 hour inspection
684TM,2018-08-26,2018-08-28,100 hour inspection
157ZA,2018-08-27,2018-08-30,100 hour inspection
548QR,2018-08-27,2018-08-30,100 hour inspection
426JQ,2018-08-31,2018-09-02,100 hour inspection
254SE,2018-09-02,2018-09-04,annual inspection
217PQ,2018-09-02,2018-09-04,100 hour inspection
133CZ,2018-09-03,2018-09-05,100 hour inspection
446BU,2018-09-08,2018-09-10,100 hour inspection
811AX,2018-09-09,2018-09-11,100 hour inspection
738GG,2018-09-09,2018-09-12,100 hour inspection
684TM,2018-09-12,2018-09-15,100 hour inspection
548QR,2018-09-15,2018-09-18,100 hour inspection
426JQ,2018-09-17,2018-09-19,100 hour inspection
157ZA,2018-09-17,2018-09-19,100 hour inspection
133CZ,2018-09-20,2018-09-23,100 hour inspection
217PQ,2018-09-20,2018-09-22,100 hour inspection
254SE,2018-09-23,2018-09-25,100 hour inspection
811AX,2018-09-26,2018-09-28,100 hour inspection
684TM,2018-10-07,2018-10-09,100 hour inspection
426JQ,2018-10-09,2018-10-11,100 hour inspection
548QR,2018-10-11,2018-10-13,100 hour inspection
157ZA,2018-10-13,2018-10-15,100 hour inspection
133CZ,2018-10-13,2018-10-16,100 hour inspection
217PQ,2018-10-15,2018-10-17,100 hour inspection
738GG,2018-10-15,2018-10-18,100 hour inspection
811AX,2018-10-16,2018-10-18,100 hour inspection
254SE,2018-10-18,2018-10-21,100 hour inspection
684TM,2018-10-23,2018-10-26,100 hour inspection
426JQ,2018-10-27,2018-10-30,100 hour inspection
446BU,2018-10-28,2018-10-31,annual inspection
548QR,2018-10-31,2018-11-03,annual inspection
133CZ,2018-11-01,2018-11-03,100 hour inspection
157ZA,2018-11-01,2018-11-03,100 hour inspection
811AX,2018-11-04,2018-11-06,100 hour inspection
217PQ,2018-11-05,2018-11-08,100 hour inspection
254SE,2018-11-08,2018-11-11,100 hour inspection
738GG,2018-11-10,2018-11-12,annual inspection
684TM,2018-11-15,2018-11-17,100 hour inspection
426JQ,2018-11-20,2018-11-22,100 hour inspection
133CZ,2018-11-23,2018-11-26,100 hour inspection
548QR,2018-11-25,2018-11-27,100 hour inspection
811AX,2018-11-27,2018-11-30,100 hour inspection
157ZA,2018-11-27,2018-11-30,100 hour inspection
811AX,2018-11-30,2018-12-08,medium repair
254SE,2018-12-04,2018-12-06,100 hour inspection
217PQ,2018-12-05,2018-12-07,100 hour inspection
684TM,2018-12-12,2018-12-15,100 hour inspection
426JQ,2018-12-13,2018-12-15,100 hour inspection
133CZ,2018-12-18,2018-12-20,100 hour inspection
548QR,2018-12-21,2018-12-24,100 hour inspection
157ZA,2018-12-22,2018-12-25,100 hour inspection
738GG,2018-12-24,2018-12-27,100 hour inspection
811AX,2018-12-28,2018-12-31,100 hour inspection
625LT,2018-12-29,2018-12-31,annual inspection
217PQ,2018-12-30,2019-01-02,100 hour inspection
254SE,2018-12-30,2019-01-02,100 hour inspection
625LT,2018-12-31,2019-01-03,minor repair
