STUDENT,AIRPLANE,INSTUCTOR,TAKEOFF,LANDING,FILED,AREA
S01924,548QR,I032,2019-01-04T12:00:00-05:00,2019-01-04T15:00:00-05:00,VFR,Practice Area
S01334,254SE,I060,2019-01-04T14:00:00-05:00,2019-01-04T16:00:00-05:00,VFR,Practice Area
S01855,738GG,I097,2019-01-04T14:00:00-05:00,2019-01-04T16:00:00-05:00,VFR,Pattern
S01839,217PQ,I010,2019-01-04T08:00:00-05:00,2019-01-04T10:00:00-05:00,VFR,Pattern
S01468,446BU,I003,2019-01-04T10:00:00-05:00,2019-01-04T12:00:00-05:00,VFR,Pattern
S01848,217PQ,I010,2019-01-04T10:00:00-05:00,2019-01-04T12:00:00-05:00,VFR,Pattern
S01602,684TM,I003,2019-01-04T12:00:00-05:00,2019-01-04T16:00:00-05:00,VFR,Cross Country
S01400,254SE,I010,2019-01-04T12:00:00-05:00,2019-01-04T14:00:00-05:00,VFR,Pattern
S01914,157ZA,I010,2019-01-04T14:00:00-05:00,2019-01-04T16:00:00-05:00,VFR,Pattern
S00847,548QR,,2019-01-04T08:00:00-05:00,2019-01-04T10:00:00-05:00,IFR,Pattern
S01898,426JQ,I053,2019-01-05T13:00:00-05:00,2019-01-05T15:00:00-05:00,VFR,Pattern
S01828,811AX,I061,2019-01-05T13:00:00-05:00,2019-01-05T15:00:00-05:00,VFR,Pattern
S01642,133CZ,I072,2019-01-05T13:00:00-05:00,2019-01-05T15:00:00-05:00,VFR,Pattern
S00914,157ZA,I060,2019-01-05T13:00:00-05:00,2019-01-05T15:00:00-05:00,VFR,Practice Area
S00829,684TM,I077,2019-01-05T13:00:00-05:00,2019-01-05T15:00:00-05:00,VFR,Pattern
S01213,548QR,I097,2019-01-05T13:00:00-05:00,2019-01-05T15:00:00-05:00,VFR,Pattern
S01031,738GG,I010,2019-01-05T13:00:00-05:00,2019-01-05T15:00:00-05:00,VFR,Pattern
S01591,217PQ,I096,2019-01-05T13:00:00-05:00,2019-01-05T15:00:00-05:00,VFR,Pattern
S01535,254SE,I003,2019-01-05T13:00:00-05:00,2019-01-05T15:00:00-05:00,VFR,Pattern
S01344,684TM,I097,2019-01-05T09:00:00-05:00,2019-01-05T11:00:00-05:00,IFR,Pattern
S01716,217PQ,I072,2019-01-06T10:00:00-05:00,2019-01-06T12:00:00-05:00,VFR,Pattern
S01577,133CZ,I053,2019-01-06T10:00:00-05:00,2019-01-06T12:00:00-05:00,VFR,Pattern
S01892,811AX,I061,2019-01-06T10:00:00-05:00,2019-01-06T12:00:00-05:00,VFR,Pattern
S01435,133CZ,I053,2019-01-06T14:00:00-05:00,2019-01-06T16:00:00-05:00,VFR,Pattern
S01899,811AX,I072,2019-01-06T14:00:00-05:00,2019-01-06T16:00:00-05:00,VFR,Pattern
S01921,811AX,I003,2019-01-06T08:00:00-05:00,2019-01-06T10:00:00-05:00,VFR,Pattern
S01506,436MK,I061,2019-01-06T14:00:00-05:00,2019-01-06T16:00:00-05:00,VFR,Pattern
S01121,133CZ,I010,2019-01-06T08:00:00-05:00,2019-01-06T10:00:00-05:00,VFR,Pattern
S01275,133CZ,I053,2019-01-06T12:00:00-05:00,2019-01-06T14:00:00-05:00,VFR,Pattern
S01481,548QR,I077,2019-01-06T10:00:00-05:00,2019-01-06T12:00:00-05:00,VFR,Pattern
S01054,157ZA,I097,2019-01-06T10:00:00-05:00,2019-01-06T12:00:00-05:00,VFR,Practice Area
S01889,684TM,I097,2019-01-06T14:00:00-05:00,2019-01-06T16:00:00-05:00,VFR,Pattern
S01316,217PQ,I077,2019-01-06T14:00:00-05:00,2019-01-06T16:00:00-05:00,VFR,Pattern
S01352,684TM,I072,2019-01-06T12:00:00-05:00,2019-01-06T14:00:00-05:00,VFR,Pattern
S01732,254SE,I096,2019-01-06T10:00:00-05:00,2019-01-06T12:00:00-05:00,VFR,Pattern
S01035,684TM,I010,2019-01-06T10:00:00-05:00,2019-01-06T12:00:00-05:00,VFR,Pattern
S01959,548QR,I010,2019-01-06T14:00:00-05:00,2019-01-06T16:00:00-05:00,VFR,Pattern
S01381,157ZA,I003,2019-01-06T14:00:00-05:00,2019-01-06T16:00:00-05:00,VFR,Practice Area
S01832,254SE,I096,2019-01-06T14:00:00-05:00,2019-01-06T16:00:00-05:00,VFR,Pattern
S00904,446BU,I003,2019-01-06T10:00:00-05:00,2019-01-06T12:00:00-05:00,VFR,Pattern
S01488,548QR,I061,2019-01-06T12:00:00-05:00,2019-01-06T14:00:00-05:00,VFR,Pattern
S01667,811AX,I097,2019-01-06T12:00:00-05:00,2019-01-06T14:00:00-05:00,VFR,Pattern
S01550,254SE,I077,2019-01-06T12:00:00-05:00,2019-01-06T14:00:00-05:00,VFR,Pattern
S01410,157ZA,I010,2019-01-06T12:00:00-05:00,2019-01-06T14:00:00-05:00,VFR,Pattern
S01674,811AX,I061,2019-01-07T09:00:00-05:00,2019-01-07T12:00:00-05:00,VFR,Practice Area
S01709,133CZ,I076,2019-01-07T09:00:00-05:00,2019-01-07T11:00:00-05:00,VFR,Pattern
S01891,133CZ,I072,2019-01-07T11:00:00-05:00,2019-01-07T13:00:00-05:00,VFR,Pattern
S01712,811AX,I076,2019-01-07T12:00:00-05:00,2019-01-07T14:00:00-05:00,VFR,Pattern
S01741,133CZ,I061,2019-01-07T13:00:00-05:00,2019-01-07T15:00:00-05:00,VFR,Pattern
S01842,811AX,I053,2019-01-07T14:00:00-05:00,2019-01-07T16:00:00-05:00,VFR,Pattern
S01774,738GG,I053,2019-01-07T09:00:00-05:00,2019-01-07T11:00:00-05:00,VFR,Practice Area
S01466,254SE,I072,2019-01-07T09:00:00-05:00,2019-01-07T11:00:00-05:00,VFR,Pattern
S01600,217PQ,I053,2019-01-07T11:00:00-05:00,2019-01-07T13:00:00-05:00,VFR,Pattern
S01685,548QR,I072,2019-01-07T13:00:00-05:00,2019-01-07T15:00:00-05:00,VFR,Pattern
S01924,684TM,I076,2019-01-07T14:00:00-05:00,2019-01-07T16:00:00-05:00,VFR,Pattern
S01855,738GG,I097,2019-01-07T11:00:00-05:00,2019-01-07T15:00:00-05:00,VFR,Cross Country
S01550,217PQ,I097,2019-01-07T09:00:00-05:00,2019-01-07T11:00:00-05:00,VFR,Pattern
S01839,157ZA,I032,2019-01-07T12:00:00-05:00,2019-01-07T14:00:00-05:00,VFR,Pattern
S01877,157ZA,I032,2019-01-07T14:00:00-05:00,2019-01-07T16:00:00-05:00,VFR,Practice Area
S01848,157ZA,I010,2019-01-07T08:00:00-05:00,2019-01-07T10:00:00-05:00,VFR,Pattern
S01602,548QR,I096,2019-01-07T09:00:00-05:00,2019-01-07T11:00:00-05:00,VFR,Pattern
S01819,254SE,I096,2019-01-07T11:00:00-05:00,2019-01-07T15:00:00-05:00,VFR,Cross Country
S01625,157ZA,I010,2019-01-07T10:00:00-05:00,2019-01-07T12:00:00-05:00,VFR,Pattern
S01914,217PQ,I010,2019-01-07T13:00:00-05:00,2019-01-07T15:00:00-05:00,VFR,Pattern
S00847,254SE,I032,2019-01-07T16:00:00-05:00,2019-01-07T18:00:00-05:00,IFR,Pattern
S00564,548QR,I032,2019-01-07T18:00:00-05:00,2019-01-07T20:00:00-05:00,IFR,Pattern
S01674,133CZ,I061,2019-01-08T09:00:00-05:00,2019-01-08T11:00:00-05:00,VFR,Pattern
S01709,811AX,I076,2019-01-08T09:00:00-05:00,2019-01-08T11:00:00-05:00,VFR,Pattern
S01891,133CZ,I061,2019-01-08T11:00:00-05:00,2019-01-08T14:00:00-05:00,VFR,Practice Area
S01712,811AX,I076,2019-01-08T11:00:00-05:00,2019-01-08T13:00:00-05:00,VFR,Pattern
S01741,811AX,I076,2019-01-08T13:00:00-05:00,2019-01-08T15:00:00-05:00,VFR,Pattern
S01633,133CZ,I053,2019-01-08T14:00:00-05:00,2019-01-08T16:00:00-05:00,VFR,Pattern
S01774,738GG,I053,2019-01-08T09:00:00-05:00,2019-01-08T12:00:00-05:00,VFR,Practice Area
S01397,548QR,I053,2019-01-08T12:00:00-05:00,2019-01-08T14:00:00-05:00,VFR,Pattern
S01685,254SE,I061,2019-01-08T14:00:00-05:00,2019-01-08T16:00:00-05:00,VFR,Pattern
S01924,548QR,I097,2019-01-08T09:00:00-05:00,2019-01-08T11:00:00-05:00,VFR,Pattern
S01855,738GG,I032,2019-01-08T12:00:00-05:00,2019-01-08T14:00:00-05:00,VFR,Pattern
S01839,157ZA,I097,2019-01-08T11:00:00-05:00,2019-01-08T13:00:00-05:00,VFR,Pattern
S01877,254SE,I060,2019-01-08T12:00:00-05:00,2019-01-08T14:00:00-05:00,VFR,Practice Area
S01848,157ZA,I097,2019-01-08T13:00:00-05:00,2019-01-08T15:00:00-05:00,VFR,Pattern
S01602,217PQ,I060,2019-01-08T14:00:00-05:00,2019-01-08T16:00:00-05:00,VFR,Pattern
S01819,548QR,I032,2019-01-08T14:00:00-05:00,2019-01-08T16:00:00-05:00,VFR,Pattern
S01914,157ZA,I010,2019-01-08T08:00:00-05:00,2019-01-08T10:00:00-05:00,VFR,Pattern
S01515,217PQ,I096,2019-01-08T09:00:00-05:00,2019-01-08T12:00:00-05:00,VFR,Practice Area
S01984,254SE,I010,2019-01-08T10:00:00-05:00,2019-01-08T12:00:00-05:00,VFR,Pattern
S02002,217PQ,I096,2019-01-08T12:00:00-05:00,2019-01-08T14:00:00-05:00,VFR,Pattern
S01806,738GG,I096,2019-01-08T14:00:00-05:00,2019-01-08T16:00:00-05:00,VFR,Pattern
S00847,254SE,,2019-01-08T08:00:00-05:00,2019-01-08T10:00:00-05:00,IFR,Pattern
S01716,254SE,I076,2019-01-09T11:00:00-05:00,2019-01-09T13:00:00-05:00,VFR,Pattern
S01674,811AX,I053,2019-01-09T11:00:00-05:00,2019-01-09T13:00:00-05:00,VFR,Pattern
S01712,133CZ,I061,2019-01-09T11:00:00-05:00,2019-01-09T14:00:00-05:00,VFR,Practice Area
S01741,811AX,I076,2019-01-09T13:00:00-05:00,2019-01-09T15:00:00-05:00,VFR,Pattern
S01633,426JQ,I077,2019-01-09T11:00:00-05:00,2019-01-09T14:00:00-05:00,VFR,Practice Area
S01750,426JQ,I053,2019-01-09T14:00:00-05:00,2019-01-09T16:00:00-05:00,VFR,Pattern
S01842,133CZ,I061,2019-01-09T14:00:00-05:00,2019-01-09T16:00:00-05:00,VFR,Pattern
S01774,738GG,I032,2019-01-09T12:00:00-05:00,2019-01-09T14:00:00-05:00,VFR,Practice Area
S01967,811AX,I003,2019-01-09T08:00:00-05:00,2019-01-09T10:00:00-05:00,VFR,Pattern
S01397,217PQ,I060,2019-01-09T12:00:00-05:00,2019-01-09T15:00:00-05:00,VFR,Practice Area
S01600,548QR,I077,2019-01-09T14:00:00-05:00,2019-01-09T16:00:00-05:00,VFR,Pattern
S01685,254SE,I032,2019-01-09T14:00:00-05:00,2019-01-09T16:00:00-05:00,VFR,Pattern
S01334,157ZA,I003,2019-01-09T11:00:00-05:00,2019-01-09T14:00:00-05:00,VFR,Practice Area
S01550,548QR,I096,2019-01-09T11:00:00-05:00,2019-01-09T14:00:00-05:00,VFR,Practice Area
S01848,157ZA,I096,2019-01-09T14:00:00-05:00,2019-01-09T16:00:00-05:00,VFR,Pattern
S01344,217PQ,I077,2019-01-09T09:00:00-05:00,2019-01-09T11:00:00-05:00,IFR,Pattern
S01051,254SE,,2019-01-09T08:00:00-05:00,2019-01-09T10:00:00-05:00,IFR,Pattern
S01064,548QR,I060,2019-01-09T16:00:00-05:00,2019-01-09T18:00:00-05:00,IFR,Pattern
S01593,446BU,I072,2019-01-10T09:00:00-05:00,2019-01-10T11:00:00-05:00,VFR,Pattern
S01720,811AX,I072,2019-01-10T14:00:00-05:00,2019-01-10T16:00:00-05:00,VFR,Pattern
S01344,157ZA,I077,2019-01-10T12:00:00-05:00,2019-01-10T14:00:00-05:00,IFR,Pattern
S01750,426JQ,I076,2019-01-11T09:00:00-05:00,2019-01-11T11:00:00-05:00,VFR,Pattern
S01842,811AX,I072,2019-01-11T13:00:00-05:00,2019-01-11T16:00:00-05:00,VFR,Practice Area
S01784,811AX,I072,2019-01-11T09:00:00-05:00,2019-01-11T11:00:00-05:00,VFR,Pattern
S01979,811AX,I072,2019-01-11T11:00:00-05:00,2019-01-11T13:00:00-05:00,VFR,Pattern
S01794,426JQ,I076,2019-01-11T11:00:00-05:00,2019-01-11T13:00:00-05:00,VFR,Pattern
S01763,426JQ,I076,2019-01-11T13:00:00-05:00,2019-01-11T15:00:00-05:00,VFR,Practice Area
S01334,684TM,I077,2019-01-11T09:00:00-05:00,2019-01-11T11:00:00-05:00,VFR,Pattern
S01602,157ZA,I097,2019-01-11T09:00:00-05:00,2019-01-11T11:00:00-05:00,VFR,Pattern
S01984,684TM,I032,2019-01-11T13:00:00-05:00,2019-01-11T15:00:00-05:00,VFR,Practice Area
S02002,254SE,I097,2019-01-11T11:00:00-05:00,2019-01-11T13:00:00-05:00,VFR,Pattern
S01294,157ZA,I077,2019-01-11T12:00:00-05:00,2019-01-11T15:00:00-05:00,VFR,Practice Area
S01902,217PQ,I060,2019-01-11T12:00:00-05:00,2019-01-11T14:00:00-05:00,VFR,Pattern
S01459,254SE,I097,2019-01-11T13:00:00-05:00,2019-01-11T16:00:00-05:00,VFR,Practice Area
S01760,217PQ,I060,2019-01-11T14:00:00-05:00,2019-01-11T16:00:00-05:00,VFR,Pattern
S01683,254SE,I003,2019-01-11T09:00:00-05:00,2019-01-11T11:00:00-05:00,VFR,Practice Area
S01969,217PQ,I010,2019-01-11T08:00:00-05:00,2019-01-11T10:00:00-05:00,VFR,Pattern
S01822,217PQ,I010,2019-01-11T10:00:00-05:00,2019-01-11T12:00:00-05:00,IFR,Pattern
S01406,548QR,I010,2019-01-11T13:00:00-05:00,2019-01-11T15:00:00-05:00,VFR,Practice Area
S01806,738GG,I003,2019-01-11T11:00:00-05:00,2019-01-11T13:00:00-05:00,VFR,Pattern
S00564,548QR,,2019-01-11T08:00:00-05:00,2019-01-11T10:00:00-05:00,IFR,Pattern
S01064,548QR,,2019-01-11T10:00:00-05:00,2019-01-11T12:00:00-05:00,IFR,Pattern
S01716,254SE,I053,2019-01-12T09:00:00-05:00,2019-01-12T11:00:00-05:00,VFR,Pattern
S01689,811AX,I072,2019-01-12T09:00:00-05:00,2019-01-12T12:00:00-05:00,VFR,Practice Area
S01840,426JQ,I061,2019-01-12T09:00:00-05:00,2019-01-12T11:00:00-05:00,VFR,Pattern
S01922,426JQ,I061,2019-01-12T11:00:00-05:00,2019-01-12T13:00:00-05:00,VFR,Pattern
S01510,811AX,I072,2019-01-12T12:00:00-05:00,2019-01-12T16:00:00-05:00,VFR,Cross Country
S01815,426JQ,I053,2019-01-12T13:00:00-05:00,2019-01-12T16:00:00-05:00,VFR,Practice Area
S00786,217PQ,I061,2019-01-12T13:00:00-05:00,2019-01-12T16:00:00-05:00,VFR,Practice Area
S01175,738GG,I053,2019-01-12T11:00:00-05:00,2019-01-12T13:00:00-05:00,VFR,Practice Area
S00658,684TM,I097,2019-01-12T09:00:00-05:00,2019-01-12T12:00:00-05:00,VFR,Practice Area
S01887,548QR,I077,2019-01-12T09:00:00-05:00,2019-01-12T11:00:00-05:00,VFR,Pattern
S01800,738GG,I077,2019-01-12T13:00:00-05:00,2019-01-12T15:00:00-05:00,VFR,Practice Area
S01954,738GG,I003,2019-01-12T09:00:00-05:00,2019-01-12T11:00:00-05:00,VFR,Pattern
S01609,254SE,I077,2019-01-12T11:00:00-05:00,2019-01-12T13:00:00-05:00,VFR,Practice Area
S01072,684TM,I097,2019-01-12T12:00:00-05:00,2019-01-12T14:00:00-05:00,VFR,Pattern
S01006,548QR,I060,2019-01-12T12:00:00-05:00,2019-01-12T14:00:00-05:00,VFR,Pattern
S01965,684TM,I097,2019-01-12T14:00:00-05:00,2019-01-12T16:00:00-05:00,VFR,Practice Area
S01862,157ZA,I060,2019-01-12T14:00:00-05:00,2019-01-12T16:00:00-05:00,VFR,Pattern
S01312,217PQ,I010,2019-01-12T09:00:00-05:00,2019-01-12T11:00:00-05:00,IFR,Pattern
S01494,157ZA,I096,2019-01-12T09:00:00-05:00,2019-01-12T11:00:00-05:00,VFR,Practice Area
S01184,157ZA,I096,2019-01-12T11:00:00-05:00,2019-01-12T13:00:00-05:00,VFR,Pattern
S01446,217PQ,I003,2019-01-12T11:00:00-05:00,2019-01-12T13:00:00-05:00,VFR,Pattern
S01751,254SE,I096,2019-01-12T13:00:00-05:00,2019-01-12T15:00:00-05:00,VFR,Pattern
S01864,548QR,I003,2019-01-12T14:00:00-05:00,2019-01-12T16:00:00-05:00,VFR,Practice Area
S01377,811AX,I061,2019-01-13T09:00:00-05:00,2019-01-13T11:00:00-05:00,VFR,Pattern
S01697,426JQ,I053,2019-01-13T09:00:00-05:00,2019-01-13T11:00:00-05:00,VFR,Pattern
S01910,811AX,I053,2019-01-13T12:00:00-05:00,2019-01-13T14:00:00-05:00,VFR,Pattern
S01726,426JQ,I061,2019-01-13T12:00:00-05:00,2019-01-13T14:00:00-05:00,VFR,Pattern
S01546,811AX,I072,2019-01-13T14:00:00-05:00,2019-01-13T16:00:00-05:00,VFR,Pattern
S01453,426JQ,I061,2019-01-13T14:00:00-05:00,2019-01-13T16:00:00-05:00,VFR,Pattern
S01615,446BU,I072,2019-01-13T09:00:00-05:00,2019-01-13T11:00:00-05:00,VFR,Pattern
S01873,738GG,I072,2019-01-13T12:00:00-05:00,2019-01-13T14:00:00-05:00,VFR,Pattern
S00943,684TM,I053,2019-01-13T14:00:00-05:00,2019-01-13T16:00:00-05:00,VFR,Pattern
S00841,254SE,I097,2019-01-13T09:00:00-05:00,2019-01-13T11:00:00-05:00,VFR,Pattern
S01648,548QR,I077,2019-01-13T09:00:00-05:00,2019-01-13T11:00:00-05:00,VFR,Pattern
S01162,217PQ,I097,2019-01-13T12:00:00-05:00,2019-01-13T14:00:00-05:00,VFR,Practice Area
S01557,254SE,I077,2019-01-13T12:00:00-05:00,2019-01-13T14:00:00-05:00,VFR,Pattern
S01360,217PQ,I097,2019-01-13T14:00:00-05:00,2019-01-13T16:00:00-05:00,VFR,Pattern
S00887,157ZA,I077,2019-01-13T14:00:00-05:00,2019-01-13T16:00:00-05:00,VFR,Pattern
S01466,157ZA,I010,2019-01-13T08:00:00-05:00,2019-01-13T11:00:00-05:00,VFR,Practice Area
S01367,684TM,I003,2019-01-13T08:00:00-05:00,2019-01-13T10:00:00-05:00,VFR,Pattern
S01621,548QR,I010,2019-01-13T12:00:00-05:00,2019-01-13T15:00:00-05:00,VFR,Practice Area
S01588,738GG,I096,2019-01-13T09:00:00-05:00,2019-01-13T11:00:00-05:00,VFR,Pattern
S01452,157ZA,I003,2019-01-13T12:00:00-05:00,2019-01-13T14:00:00-05:00,VFR,Pattern
S00935,684TM,I096,2019-01-13T12:00:00-05:00,2019-01-13T14:00:00-05:00,VFR,Pattern
S01172,254SE,I003,2019-01-13T14:00:00-05:00,2019-01-13T16:00:00-05:00,VFR,Pattern
S01738,217PQ,I003,2019-01-13T10:00:00-05:00,2019-01-13T12:00:00-05:00,VFR,Pattern
S01523,738GG,I096,2019-01-13T14:00:00-05:00,2019-01-13T16:00:00-05:00,VFR,Pattern
S01653,426JQ,I053,2019-01-14T14:00:00-05:00,2019-01-14T16:00:00-05:00,VFR,Pattern
S01646,811AX,I076,2019-01-14T14:00:00-05:00,2019-01-14T16:00:00-05:00,VFR,Practice Area
S01724,426JQ,I072,2019-01-14T11:00:00-05:00,2019-01-14T13:00:00-05:00,VFR,Pattern
S01822,157ZA,I061,2019-01-14T14:00:00-05:00,2019-01-14T16:00:00-05:00,VFR,Pattern
S01848,217PQ,I072,2019-01-14T14:00:00-05:00,2019-01-14T16:00:00-05:00,VFR,Practice Area
S02022,684TM,I032,2019-01-14T14:00:00-05:00,2019-01-14T16:00:00-05:00,VFR,Practice Area
S02014,254SE,I097,2019-01-14T14:00:00-05:00,2019-01-14T16:00:00-05:00,VFR,Pattern
S01839,254SE,I053,2019-01-14T10:00:00-05:00,2019-01-14T12:00:00-05:00,VFR,Pattern
S01716,684TM,I076,2019-01-15T09:00:00-05:00,2019-01-15T11:00:00-05:00,VFR,Pattern
S01636,157ZA,I053,2019-01-15T09:00:00-05:00,2019-01-15T12:00:00-05:00,VFR,Practice Area
S01784,426JQ,I061,2019-01-15T09:00:00-05:00,2019-01-15T11:00:00-05:00,VFR,Pattern
S01979,811AX,I097,2019-01-15T09:00:00-05:00,2019-01-15T12:00:00-05:00,VFR,Cross Country
S01794,426JQ,I076,2019-01-15T11:00:00-05:00,2019-01-15T13:00:00-05:00,VFR,Pattern
S01763,811AX,I053,2019-01-15T12:00:00-05:00,2019-01-15T14:00:00-05:00,VFR,Pattern
S01812,426JQ,I061,2019-01-15T13:00:00-05:00,2019-01-15T15:00:00-05:00,VFR,Pattern
S01917,811AX,I053,2019-01-15T14:00:00-05:00,2019-01-15T16:00:00-05:00,VFR,Pattern
S01585,254SE,I061,2019-01-15T11:00:00-05:00,2019-01-15T13:00:00-05:00,VFR,Pattern
S01501,548QR,I010,2019-01-15T08:00:00-05:00,2019-01-15T10:00:00-05:00,VFR,Practice Area
S01902,254SE,I076,2019-01-15T13:00:00-05:00,2019-01-15T15:00:00-05:00,VFR,Pattern
S01502,217PQ,I060,2019-01-15T12:00:00-05:00,2019-01-15T14:00:00-05:00,VFR,Pattern
S01760,684TM,I032,2019-01-15T12:00:00-05:00,2019-01-15T14:00:00-05:00,VFR,Pattern
S01969,157ZA,I097,2019-01-15T12:00:00-05:00,2019-01-15T14:00:00-05:00,VFR,Pattern
S01571,684TM,I097,2019-01-15T14:00:00-05:00,2019-01-15T16:00:00-05:00,VFR,Pattern
S01385,217PQ,I096,2019-01-15T09:00:00-05:00,2019-01-15T12:00:00-05:00,VFR,Practice Area
S01822,157ZA,I060,2019-01-15T14:00:00-05:00,2019-01-15T16:00:00-05:00,VFR,Pattern
S01654,217PQ,I032,2019-01-15T14:00:00-05:00,2019-01-15T16:00:00-05:00,VFR,Pattern
S01051,684TM,I060,2019-01-15T16:00:00-05:00,2019-01-15T18:00:00-05:00,IFR,Pattern
S01806,738GG,I010,2019-01-15T10:00:00-05:00,2019-01-15T12:00:00-05:00,VFR,Pattern
S01855,738GG,I096,2019-01-15T12:00:00-05:00,2019-01-15T14:00:00-05:00,VFR,Pattern
S00847,254SE,,2019-01-15T08:00:00-05:00,2019-01-15T10:00:00-05:00,IFR,Pattern
S01984,446BU,I010,2019-01-15T12:00:00-05:00,2019-01-15T14:00:00-05:00,VFR,Pattern
S01716,217PQ,I053,2019-01-16T09:00:00-05:00,2019-01-16T12:00:00-05:00,VFR,Practice Area
